hasSomethingWith	Oh_Hae-young_Soil	Park_Do-kyung	s01e05p001
hasSomethingWith	Park_Do-kyung	Oh_Hae-young_Soil	s01e05p001
hasSomethingWith	Oh_Hae-young_Soil	Park_Do-kyung	s01e05p002
hasSomethingWith	Park_Do-kyung	Oh_Hae-young_Soil	s01e05p002
hates	Park_Do-kyung	Oh_Hae-young_Gold	s01e05p004
hasSomethingWith	Oh_Hae-young_Soil	Park_Do-kyung	s01e05p006
hasSomethingWith	Park_Do-kyung	Oh_Hae-young_Soil	s01e05p006
friend	Oh_Hae-young_Soil	Oh_Hae-young_Gold	s01e05p007
friend	Oh_Hae-young_Gold	Oh_Hae-young_Soil	s01e05p007
hasSomethingWith	Oh_Hae-young_Soil	Park_Do-kyung	s01e05p007
hasSomethingWith	Park_Do-kyung	Oh_Hae-young_Soil	s01e05p007
loves	Oh_Hae-young_Gold	Park_Do-kyung	s01e05p007
hates	Park_Do-kyung	Oh_Hae-young_Gold	s01e05p007
ex-girlfriend	Park_Do-kyung	Oh_Hae-young_Gold	s01e05p009
hasSomethingWith	Oh_Hae-young_Soil	Park_Do-kyung	s01e05p010
hasSomethingWith	Oh_Hae-young_Soil	Park_Do-kyung	s01e05p011
hasSomethingWith	Park_Do-kyung	Oh_Hae-young_Soil	s01e05p011
ex-girlfriend	Park_Do-kyung	Oh_Hae-young_Gold	s01e05p011
friend	Park_Do-kyung	Lee_Jin-sang	s01e05p012
friend	Lee_Jin-sang	Park_Do-kyung	s01e05p012
ex-girlfriend	Park_Do-kyung	Oh_Hae-young_Gold	s01e05p013
hates	Park_Do-kyung	Oh_Hae-young_Gold	s01e05p013
hasSomethingWith	Oh_Hae-young_Soil	Park_Do-kyung	s01e05p013
hasSomethingWith	Park_Do-kyung	Oh_Hae-young_Soil	s01e05p013
friend	Oh_Hae-young_Soil	Oh_Hae-young_Gold	s01e05p016
friend	Oh_Hae-young_Gold	Oh_Hae-young_Soil	s01e05p016
friend	Oh_Hae-young_Soil	Oh_Hae-young_Gold	s01e05p017
friend	Oh_Hae-young_Gold	Oh_Hae-young_Soil	s01e05p017
hasSomethingWith	Oh_Hae-young_Soil	Park_Do-kyung	s01e05p019
hasSomethingWith	Park_Do-kyung	Oh_Hae-young_Soil	s01e05p019
loves	Oh_Hae-young_Soil	Park_Do-kyung	s01e05p022
friend	Oh_Hae-young_Soil	Kim_Hee-ran	s01e05p022
friend	Kim_Hee-ran	Oh_Hae-young_Soil	s01e05p022
engagement	Oh_Hae-young_Soil	Han_Tae-jin	s01e05p023
ex-boyfriend	Oh_Hae-young_Soil	Han_Tae-jin	s01e01p023
ex-girlfriend	Park_Do-kyung	Oh_Hae-young_Gold	s01e05p023
loves	Oh_Hae-young_Soil	Park_Do-kyung	s01e05p023
loves	Oh_Hae-young_Soil	Park_Do-kyung	s01e05p024
hasSomethingWith	Park_Do-kyung	Oh_Hae-young_Soil	s01e05p025
